part,supplier,demand,unit_cost,capacity,min_suppliers,dual_source,lead_time,max_lead_time,region,fx_rate,logistics_cost,route,route_capacity,route_share_cap
medium_sour,saudi_ras_tanura,10,8620,7,2,1,19,60,gulf_hormuz,100,302,hormuz,,
medium_sour,uae_das_island,10,8650,3,,,18,,gulf_hormuz,100,302,hormuz,,
medium_sour,kuwait_mina_al_ahmadi,10,8550,3,,,19,,gulf_hormuz,100,302,hormuz,,
medium_sour,iraq_basrah,10,8410,4,,,20,,gulf_hormuz,100,302,hormuz,,
medium_sour,saudi_yanbu,10,8620,4,,,26,,red_sea,100,530,bypass,6,
medium_sour,uae_fujairah,10,8650,2,,,17,,fujairah,100,345,bypass,6,
medium_sour,brazil_tupi,10,8600,4,,,40,,s_atlantic,100,500,atlantic,,
medium_sour,angola_girassol,10,8680,3,,,30,,w_atlantic,100,420,atlantic,,
heavy_sour,saudi_ras_tanura,6,8170,4,2,,19,60,gulf_hormuz,100,302,hormuz,,
heavy_sour,kuwait_mina_al_ahmadi,6,8120,3,,,19,,gulf_hormuz,100,302,hormuz,,
heavy_sour,iraq_basrah,6,8050,3,,,20,,gulf_hormuz,100,302,hormuz,,
heavy_sour,saudi_yanbu,6,8170,3,,,26,,red_sea,100,530,bypass,6,
heavy_sour,mexico_maya,6,8000,3,,,40,,s_atlantic,100,500,atlantic,,
heavy_sour,canada_usgc,6,7900,2,,,45,,usgc,100,550,atlantic,,
light_sweet,qatar_ras_laffan,4,8650,2,2,,18,60,gulf_hormuz,100,302,hormuz,,
light_sweet,uae_fujairah,4,8700,3,,,17,,fujairah,100,345,bypass,6,
light_sweet,us_gulf_wti,4,8700,3,,,45,,usgc,100,550,atlantic,,
light_sweet,west_africa,4,8850,2,,,30,,w_atlantic,100,420,atlantic,,
light_sweet,guyana_liza,4,8750,2,,,42,,s_atlantic,100,500,atlantic,,
